currency_id,symbol,name,market_cap,price,price_change_percentage_24h,volume_24h,last_updated
53,RENDER,Render,3472204499.00,6.6900000000,7.02,522519631.00,2024-12-20 17:08:07.336080
61,BGB,Bitget Token,5729692295.00,4.1200000000,3.03,568614761.00,2024-12-20 17:08:07.330424
70,RAY,Raydium,1209410778.00,4.1500000000,9.24,207011194.00,2024-12-20 17:08:07.351079
45,OKB,OKB,2636525374.00,43.9400000000,5.35,26124478.00,2024-12-20 17:08:07.339079
52,IMX,Immutable,2266251958.00,1.3300000000,5.25,171889321.00,2024-12-20 17:08:07.341079
19,BCH,Bitcoin Cash,8287535877.00,416.8200000000,5.93,823873246.00,2024-12-20 17:08:07.328424
79,AR,Arweave,1049434394.00,16.0300000000,3.60,322797097.00,2024-12-20 17:08:07.354078
26,NEAR,NEAR Protocol,6053610058.00,4.9600000000,6.81,2889453064.00,2024-12-20 17:08:07.329424
92,JASMY,JasmyCoin,1516084217.00,0.0311976700,2.63,531666325.00,2024-12-20 17:08:07.347078
49,FDUSD,First Digital USD,1724724544.00,0.9951460000,-0.17,5950062336.00,2024-12-20 17:08:07.344078
9,STETH,Lido Staked Ether,32126726495.00,3275.6200000000,4.59,237800874.00,2024-12-20 17:08:07.322424
44,STX,Stacks,2515723596.00,1.6600000000,5.15,435486180.00,2024-12-20 17:08:07.340078
28,APT,Aptos,5876848822.00,10.5400000000,5.62,1432214754.00,2024-12-20 17:08:07.330424
13,TON,Toncoin,13169966887.00,5.1500000000,7.13,994962301.00,2024-12-20 17:08:07.324425
55,OP,Optimism,2337727366.00,1.7300000000,1.92,1062449315.00,2024-12-20 17:08:07.341079
64,JUP,Jupiter,1103497975.00,0.8174600000,8.67,393387848.00,2024-12-20 17:08:07.353079
90,BEAM,Beam,1306213333.00,0.0248221300,0.74,187824653.00,2024-12-20 17:08:07.349078
5,BNB,BNB,94745700873.00,648.1800000000,0.66,3335059546.00,2024-12-20 17:08:07.320425
6,USDC,USDC,42088653565.00,0.9985140000,0.01,11333679324.00,2024-12-20 17:08:07.321425
22,LEO,LEO Token,8488460532.00,9.1900000000,3.76,1529778.00,2024-12-20 17:08:07.327424
33,KAS,Kaspa,3111282662.00,0.1219900000,19.15,352682922.00,2024-12-20 17:08:07.338079
56,HBAR,Hedera,9700321739.00,0.2545120000,3.18,2424321174.00,2024-12-20 17:08:07.326423
1,BTC,Bitcoin,1879472932514.00,94784.0000000000,0.53,132228106219.00,2024-12-20 17:08:07.318426
10,ADA,Cardano,30693531727.00,0.8525360000,15.71,3305456338.00,2024-12-20 17:08:07.322424
8,XRP,XRP,124006651619.00,2.1600000000,2.24,26203824605.00,2024-12-20 17:08:07.320425
180,IOTA,IOTA,991972749.00,0.2780360000,2.13,132694128.00,2024-12-20 17:08:07.356079
157,CAKE,PancakeSwap,660703804.00,2.2800000000,1.87,409482915.00,2024-12-20 17:08:07.364432
119,XEC,eCash,659102301.00,0.0000332200,6.52,50645148.00,2024-12-20 17:08:07.364432
147,SAFE,Safe,499282183.00,0.9688020000,-1.75,45845566.00,2024-12-20 17:08:07.376432
116,GRASS,Grass,532480901.00,2.1700000000,1.36,188868588.00,2024-12-20 17:08:07.371432
161,ROSE,Oasis,530691696.00,0.0785700000,2.42,108319231.00,2024-12-20 17:08:07.372432
149,GIGA,Gigachad,412867252.00,0.0429756800,-3.65,41810643.00,2024-12-20 17:08:07.382772
148,BOME,BOOK OF MEME,407751885.00,0.0059094800,5.35,588854380.00,2024-12-20 17:08:07.382772
113,NOT,Notcoin,621134499.00,0.0060533300,21.80,285768845.00,2024-12-20 17:08:07.368432
183,NFT,APENFT,498395765.00,5.023E-7,0.83,58879680.00,2024-12-20 17:08:07.376432
158,PYUSD,PayPal USD,495745849.00,0.9976740000,0.00,133998457.00,2024-12-20 17:08:07.377543
145,CBETH,Coinbase Wrapped Staked ETH,593891231.00,3551.8100000000,4.39,24642328.00,2024-12-20 17:08:07.369431
187,ZRO,LayerZero,589154708.00,5.2900000000,0.75,423873329.00,2024-12-20 17:08:07.369431
138,FRAX,Frax,645113473.00,0.9924950000,0.14,54881853.00,2024-12-20 17:08:07.365431
127,RSETH,Kelp DAO Restaked ETH,1626902923.00,3376.8400000000,4.13,6903416.00,2024-12-20 17:08:07.345078
121,NEO,NEO,958448537.00,13.5600000000,3.33,107428718.00,2024-12-20 17:08:07.357079
174,BLUR,Blur,526124960.00,0.2516920000,4.12,142771771.00,2024-12-20 17:08:07.372432
109,ORDI,ORDI,524039023.00,24.9500000000,7.75,551754169.00,2024-12-20 17:08:07.373433
141,TURBO,Turbo,523195653.00,0.0075784600,8.25,246790106.00,2024-12-20 17:08:07.373433
107,EGLD,MultiversX,889150404.00,31.9800000000,1.45,134793701.00,2024-12-20 17:08:07.358079
118,SOLVBTC.BBN,Solv Protocol SolvBTC.BBN,889034073.00,95369.0000000000,0.59,2177063.00,2024-12-20 17:08:07.358079
108,AXS,Axie Infinity,888034508.00,5.6500000000,2.87,237509067.00,2024-12-20 17:08:07.358079
178,BTC.B,Avalanche Bridged BTC (Avalanche),518908956.00,95219.0000000000,0.15,73900151.00,2024-12-20 17:08:07.374432
150,MANA,Decentraland,847070572.00,0.4515960000,2.95,297906474.00,2024-12-20 17:08:07.359079
115,USDD,USDD,743225354.00,0.9940890000,0.01,3743449.00,2024-12-20 17:08:07.361427
170,TUSD,TrueUSD,495377137.00,0.9982700000,0.06,81261906.00,2024-12-20 17:08:07.377543
171,FRXETH,Frax Ether,492463010.00,3305.4000000000,6.48,5287141.00,2024-12-20 17:08:07.377543
155,CHZ,Chiliz,739817008.00,0.0799410000,3.49,237005736.00,2024-12-20 17:08:07.361427
137,SAND,The Sandbox,1255601070.00,0.5154300000,4.26,806069425.00,2024-12-20 17:08:07.351079
123,CFX,Conflux,720652292.00,0.1517760000,4.39,196660586.00,2024-12-20 17:08:07.362432
164,PAXG,PAX Gold,517766551.00,2603.4600000000,-0.19,37899997.00,2024-12-20 17:08:07.374432
129,W,Wormhole,718293341.00,0.2583570000,7.15,241128361.00,2024-12-20 17:08:07.362432
188,GMT,GMT,352125922.00,0.1341680000,3.04,134785722.00,2024-12-20 17:08:07.390776
131,ZEC,Zcash,708601654.00,44.7700000000,-2.66,120240427.00,2024-12-20 17:08:07.363431
136,MINA,Mina Protocol,689642421.00,0.5743990000,4.19,120606349.00,2024-12-20 17:08:07.363431
98,QNT,Quant,1501623455.00,102.9900000000,3.35,117129023.00,2024-12-20 17:08:07.347078
152,EIGEN,Eigenlayer,817839782.00,3.8700000000,4.54,358558580.00,2024-12-20 17:08:07.360080
128,GNO,Gnosis,634317661.00,244.5200000000,5.72,15791918.00,2024-12-20 17:08:07.366432
126,FLR,Flare,1479511836.00,0.0269031300,3.08,31736503.00,2024-12-20 17:08:07.347078
169,DEXE,DeXe,574276007.00,10.1500000000,2.87,49014313.00,2024-12-20 17:08:07.370431
159,SATS,SATS (Ordinals),351192340.00,1.671E-7,8.81,64561978.00,2024-12-20 17:08:07.391773
166,LUNC,Terra Luna Classic,554058893.00,0.0001000600,3.30,91083641.00,2024-12-20 17:08:07.370431
135,ARKM,Arkham,491440918.00,1.4700000000,0.64,311459023.00,2024-12-20 17:08:07.378506
179,TWT,Trust Wallet,467240637.00,1.1200000000,1.78,59469234.00,2024-12-20 17:08:07.378768
182,BTG,Bitcoin Gold,286559319.00,16.3000000000,4.31,44465268.00,2024-12-20 17:08:07.950639
165,SNX,Synthetix Network,687005592.00,2.0200000000,0.57,109328140.00,2024-12-20 17:08:07.363431
139,PEPECOIN,PepeCoin,269962759.00,2.4500000000,3.94,5917262.00,2024-12-20 17:08:07.954608
181,DRIFT,Drift Protocol,254130741.00,0.9420030000,-17.29,60004865.00,2024-12-20 17:08:07.956608
146,SUPER,SuperVerse,631853869.00,1.3900000000,2.64,101705431.00,2024-12-20 17:08:07.366432
186,BABYDOGE,Baby Doge Coin,506209366.00,3.1E-9,8.47,110441558.00,2024-12-20 17:08:07.375431
99,GALA,GALA,1364945153.00,0.0323626000,4.99,616270081.00,2024-12-20 17:08:07.348079
122,NEXO,NEXO,1281282201.00,1.2800000000,2.64,21561107.00,2024-12-20 17:08:07.350078
